"","Species","TotalCount","TotalPlots","shape","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOP_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model"
"1","Acer rubrum",1564,368,NA,0.797,0.008,0.008,-0.007,0.024,1.01,0.99,1.02,0.145,0.855,0.068,0.482,1.07,-0.873,1.038,0.446,0.554,0.022,0.043,-0.063,0.108,1.03,0.94,1.11,0.305,0.695,0.236,0.764,0.54,0.46,"Poisson"
"2","Carpinus caroliniana",59,36,NA,-5.919,0.075,0.042,-0.008,0.159,1.08,0.99,1.17,0.038,0.962,2.097,1.83,8.14,-1.627,5.99,0.126,0.874,-0.082,0.148,-0.382,0.218,0.99,0.68,1.24,0.711,0.289,0.52,0.48,0.103,0.897,"Poisson"
"3","Carya alba",251,134,NA,-2.673,-0.001,0.02,-0.039,0.037,1,0.96,1.04,0.525,0.475,-0.501,1.41,0.61,-3.476,2.248,0.64,0.36,0.077,0.145,-0.204,0.384,1.08,0.82,1.47,0.294,0.706,0.297,0.703,0.71,0.29,"Poisson"
"4","Carya glabra",359,170,NA,-1.886,0.001,0.016,-0.031,0.033,1,0.97,1.03,0.468,0.532,-0.862,1.258,0.42,-3.523,1.543,0.756,0.244,0.035,0.1,-0.165,0.236,1.04,0.85,1.27,0.365,0.635,0.359,0.641,0.776,0.224,"Poisson"
"5","Carya ovalis",62,44,NA,-6.075,0.005,0.039,-0.071,0.081,1.01,0.93,1.08,0.445,0.555,-140.184,127.717,0,-1454.668,-14.257,1,0,0.577,16.161,-73.659,107.383,1.79,0,4.32358847206115e+46,0.481,0.52,0.481,0.52,0.979,0.021,"Poisson"
"6","Cornus florida",178,86,NA,-3.349,-0.039,0.023,-0.085,0.007,0.96,0.92,1.01,0.955,0.045,-0.867,1.661,0.42,-4.565,2.236,0.704,0.296,0.095,0.146,-0.189,0.401,1.06,0.83,1.49,0.254,0.746,0.347,0.653,0.78,0.22,"Poisson"
"7","Fagus grandifolia",2428,339,NA,1.037,0.035,0.006,0.023,0.047,1.04,1.02,1.05,0,1,-2.063,0.777,0.13,-3.662,-0.569,0.996,0.004,0.034,0.054,-0.07,0.143,1.07,0.93,1.15,0.266,0.734,0.099,0.901,0.997,0.003,"Poisson"
"8","Fraxinus americana",48,33,NA,-6.239,-0.002,0.044,-0.089,0.083,1,0.91,1.09,0.519,0.481,-138.496,126.477,0,-1142.606,-13.777,0.999,0.001,0.473,16.021,-74.89,83.558,1.6,0,1.94436734606959e+36,0.485,0.515,0.485,0.515,0.978,0.022,"Poisson"
"9","Ilex opaca",380,150,NA,-2.119,0.034,0.016,0.003,0.065,1.03,1,1.07,0.016,0.984,-2.184,1.592,0.11,-5.746,0.699,0.929,0.071,0.004,0.19,-0.383,0.41,1.04,0.68,1.51,0.492,0.508,0.42,0.58,0.876,0.124,"Poisson"
"10","Juniperus virginiana",53,30,NA,-6.864,-0.059,0.043,-0.144,0.023,0.94,0.87,1.02,0.919,0.081,-150.423,138.613,0,-1199.022,-14.329,1,0,0.353,17.488,-87.307,85.541,1.34,0,1.41248640500978e+37,0.489,0.511,0.491,0.509,0.978,0.022,"Poisson"
"11","Liquidambar styraciflua",144,42,NA,-6.82,0.03,0.026,-0.02,0.081,1.03,0.98,1.08,0.121,0.879,-48.723,49.461,0,-386.437,-1.998,0.989,0.011,-9.46,8.94,-69.971,-0.791,0,0,0.45,0.998,0.002,0.998,0.002,0.144,0.856,"Poisson"
"12","Liriodendron tulipifera",2115,371,NA,0.98,0,0.007,-0.014,0.013,1,0.99,1.01,0.524,0.476,0.574,0.521,1.78,-0.448,1.6,0.135,0.865,0.003,0.03,-0.055,0.062,1,0.95,1.06,0.462,0.538,0.466,0.534,0.152,0.848,"Poisson"
"13","Nyssa sylvatica",1118,331,NA,0.408,0.011,0.009,-0.007,0.029,1.01,0.99,1.03,0.119,0.881,-0.15,0.539,0.86,-1.215,0.915,0.608,0.392,0.009,0.058,-0.105,0.124,1.02,0.9,1.13,0.439,0.561,0.365,0.635,0.621,0.379,"Poisson"
"14","Pinus virginiana",2215,236,NA,-0.612,-0.034,0.007,-0.047,-0.021,0.97,0.95,0.98,1,0,-0.086,1.363,0.92,-2.843,2.555,0.525,0.475,-0.016,0.035,-0.086,0.052,0.95,0.92,1.05,0.677,0.323,0.929,0.071,0.499,0.501,"Poisson"
"15","Quercus alba",1614,336,NA,0.688,-0.005,0.008,-0.02,0.01,1,0.98,1.01,0.728,0.272,-0.902,0.642,0.41,-2.196,0.356,0.921,0.079,-0.031,0.056,-0.143,0.078,0.96,0.87,1.08,0.713,0.287,0.743,0.257,0.85,0.15,"Poisson"
