"","Species","TotalCount","TotalPlots","shape","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_low_85","Year_up_85","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Year_Per_Change_low85","Year_Per_Change_upper85","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Fire_Year_Per_Change_low85","Fire_Year_Per_Change_upper85","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOpe_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model"
"1","Acer rubrum",301,173,NA,-1.496,-0.0609,0.018,-0.091,-0.031,-0.08,-0.042,0.9409,0.913,0.9695,0.9231,0.9589,1,0,0.76,0.789,2.14,-0.576,2.091,0.171,0.829,0.1347,0.078,0.007,0.268,1.0766,0.9517,1.2251,0.9955,1.1661,0.041,0.959,0.164,0.836,0.495,0.505,"Poisson"
"2","Carpinus caroliniana",112,38,NA,-6.251,-0.0372,0.03,-0.087,0.011,-0.069,-0.007,0.9635,0.9167,1.0111,0.9333,0.993,0.895,0.105,0.188,2.441,1.21,-4.208,4.157,0.47,0.53,0.3423,0.192,0.066,0.724,1.3568,1.033,1.9849,1.1324,1.696,0.018,0.982,0.031,0.969,0.735,0.265,"Poisson"
"3","Carya glabra",67,46,NA,-5.993,-0.0246,0.04,-0.091,0.041,-0.066,0.017,0.9757,0.913,1.0419,0.9361,1.0171,0.731,0.269,3.059,1.783,21.31,0.216,6.322,0.039,0.961,0.2275,0.135,0.021,0.472,1.2249,1.0078,1.5504,1.0796,1.4108,0.034,0.966,0.043,0.957,0.184,0.816,"Poisson"
"4","Cornus florida",184,129,NA,-2.236,-0.0852,0.024,-0.125,-0.046,-0.11,-0.061,0.9183,0.8825,0.955,0.8958,0.9408,1,0,0.336,0.986,1.4,-1.371,1.945,0.367,0.633,0.1035,0.083,-0.033,0.242,1.0185,0.8931,1.1616,0.9382,1.1064,0.105,0.895,0.409,0.591,0.583,0.417,"Poisson"
"5","Fagus grandifolia",1550,338,NA,0.769,6e-04,0.008,-0.012,0.013,-0.008,0.009,1.0006,0.9881,1.0131,0.992,1.009,0.473,0.527,-2.604,0.751,0.07,-3.918,-1.419,1,0,0.0306,0.104,-0.141,0.206,1.0317,0.8696,1.2294,0.9268,1.1499,0.382,0.618,0.379,0.621,0.999,0.001,"Poisson"
"6","Ilex opaca",574,196,NA,-1.337,0.0132,0.013,-0.008,0.034,0,0.026,1.0133,0.992,1.0346,1,1.0263,0.153,0.847,-3.682,1.832,0.03,-7.227,-1.022,0.99,0.01,0.2715,0.295,-0.15,0.904,1.3294,0.8719,2.504,1.0091,1.8944,0.154,0.846,0.142,0.858,0.987,0.013,"Poisson"
"7","Liquidambar styraciflua",76,29,NA,-8.399,-0.0192,0.035,-0.077,0.039,-0.056,0.018,0.981,0.9259,1.0398,0.9455,1.0182,0.708,0.292,1.125,3.011,3.08,-4.279,6.291,0.354,0.646,0.2371,0.275,-0.175,0.804,1.2435,0.8267,2.1902,0.9588,1.717,0.176,0.824,0.194,0.806,0.525,0.475,"Poisson"
"8","Nyssa sylvatica",700,259,NA,-0.381,-0.0224,0.012,-0.042,-0.003,-0.035,-0.01,0.9778,0.9589,0.997,0.9656,0.99,0.971,0.029,-0.137,0.739,0.87,-1.373,1.102,0.572,0.428,0.028,0.063,-0.075,0.131,1.0056,0.9084,1.113,0.9431,1.0724,0.327,0.673,0.463,0.537,0.638,0.362,"Poisson"
"9","Quercus alba",577,80,NA,-5.155,-0.0123,0.015,-0.036,0.012,-0.027,0.003,0.9878,0.9646,1.0121,0.9734,1.003,0.803,0.197,5.648,1.851,283.72,2.757,8.993,0.001,0.999,0.1793,0.032,0.128,0.232,1.1818,1.1296,1.2382,1.1484,1.2171,0,1,0,1,0.004,0.996,"Poisson"
"10","Quercus coccinea",46,18,NA,-8.033,-0.1089,0.085,-0.254,0.028,-0.199,-0.022,0.8968,0.7757,1.0284,0.8195,0.9782,0.905,0.095,6.156,1.971,471.54,3.326,10.314,0,1,0.3897,0.111,0.21,0.58,1.3242,1.1831,1.4964,1.2304,1.4268,0,1,0,1,0.015,0.985,"Poisson"
"11","Quercus falcata",83,35,NA,-6.629,-0.0429,0.035,-0.101,0.014,-0.079,-0.007,0.958,0.9039,1.0141,0.924,0.993,0.892,0.108,3.503,1.959,33.21,0.446,7.127,0.031,0.969,0.1879,0.142,-0.034,0.444,1.156,0.9323,1.484,1.0069,1.3424,0.084,0.916,0.138,0.862,0.129,0.871,"Poisson"
"12","Quercus velutina",50,28,NA,-7.155,-0.0463,0.047,-0.125,0.031,-0.096,0.003,0.9548,0.8825,1.0315,0.9085,1.003,0.836,0.164,3.606,1.998,36.82,0.354,7.368,0.034,0.966,0.094,0.122,-0.107,0.297,1.0489,0.8732,1.2661,0.9342,1.1789,0.218,0.782,0.336,0.664,0.072,0.928,"Poisson"
"13","Sassafras albidum",58,40,NA,-5.582,-0.0834,0.041,-0.152,-0.017,-0.126,-0.041,0.92,0.859,0.9831,0.8816,0.9598,0.98,0.02,-127.653,113.598,0,-715.043,-21.6,1,0,0.4815,14.939,-45.377,48.834,1.489,0,1.46800689987903e+21,0,462433354.8102,0.483,0.517,0.485,0.515,0.982,0.018,"Poisson"
"14","All",4516,431,NA,2.131,-0.0151,0.005,-0.023,-0.007,-0.02,-0.01,0.985,0.9773,0.993,0.9802,0.99,0.999,0.001,0.347,0.274,1.41,-0.098,0.795,0.099,0.901,0.1587,0.02,0.127,0.192,1.1544,1.1191,1.1921,1.1319,1.178,0,1,0,1,0.962,0.038,"Poisson"
"15","Early_Successional",128,62,NA,-5.011,-0.0439,0.028,-0.091,0.003,-0.073,-0.015,0.957,0.913,1.003,0.9296,0.9851,0.941,0.059,-1.002,2.162,0.37,-4.99,2.456,0.684,0.316,0.6333,0.229,0.326,1.125,1.8029,1.3309,2.9393,1.4685,2.3867,0,1,0,1,0.96,0.04,"Poisson"
