"","Species","Start_NoFire_Mean","Start_NoFire_Low","Start_NoFire_High","Start_Fire_Mean","Start_Fire_Low","Start_Fire_High","Start_NoFire_Mean_HA","Start_NoFire_Low_Ha","Start_NoFire_High_Ha","Start_Fire_Mean_HA","Start_Fire_Low_Ha","Start_Fire_High_Ha"
"3","Carya glabra",0,0,0.002,0,0,0,0,0,0.24,0,0,0
"6","Ilex opaca",0.001,0.001,0.01,0,0,0,0.12,0.12,1.18,0,0,0
"7","Liquidambar styraciflua",0,0,0.003,0,0,0,0,0,0.35,0,0,0
"9","Quercus alba",0.001,0,0.004,0,0,0.001,0.12,0,0.47,0,0,0.12
"10","Quercus coccinea",0,0,0.002,0,0,0.001,0,0,0.24,0,0,0.12
"11","Quercus falcata",0,0,0.002,0,0,0,0,0,0.24,0,0,0
"12","Quercus velutina",0,0,0.003,0,0,0.002,0,0,0.35,0,0,0.24
"14","All",0.019,0.014,0.027,0.011,0.008,0.017,2.24,1.65,3.18,1.3,0.94,2
"15","Early_Successional",0,0,0.003,0,0,0,0,0,0.35,0,0,0
"16","Oak_Hickory",0.001,0,0.009,0.001,0,0.003,0.12,0,1.06,0.12,0,0.35
"17","Mesic",0.014,0.01,0.02,0.007,0.005,0.011,1.65,1.18,2.36,0.83,0.59,1.3
"18","Non_Canopy",0.002,0.001,0.007,0.001,0,0.002,0.24,0.12,0.83,0.12,0,0.24
"4","Cornus florida",0.001,0,0.003,0.001,0,0.007,0.12,0,0.35,0.12,0,0.83
"5","Fagus grandifolia",0.005,0.003,0.012,0.002,0.001,0.017,0.59,0.35,1.41,0.24,0.12,2
"8","Nyssa sylvatica",0.004,0.002,0.011,0.004,0.002,0.012,0.47,0.24,1.3,0.47,0.24,1.41
"13","Sassafras albidum",0,0,0.002,2.37649438429157e+43,0,Inf,0,0,0.24,2.80170984066766e+45,0,Inf
"1","Acer rubrum",0.002,0.001,0.007,0.001,0.001,0.005,0.24,0.12,0.83,0.12,0.12,0.59
"2","Carpinus caroliniana",0,0,0.004,0,0,0.001,0,0,0.47,0,0,0.12
