"","Species","Start_NoFire_Mean","Start_NoFire_Low","Start_NoFire_High","Start_Fire_Mean","Start_Fire_Low","Start_Fire_High","Start_NoFire_Mean_HA","Start_NoFire_Low_Ha","Start_NoFire_High_Ha","Start_Fire_Mean_HA","Start_Fire_Low_Ha","Start_Fire_High_Ha"
"2","Amelanchier arborea",0.111,0.036,0.452,0.444,0.126,1.444,92.5,30,376.67,370,105,1203.33
"3","Asimina triloba",0.52,0.344,1.028,0,0,0.001,433.33,286.67,856.67,0,0,0.83
"4","Carpinus caroliniana",0.113,0.028,0.583,2.187,1.236,3.827,94.17,23.33,485.83,1822.5,1030,3189.17
"6","Carya glabra",0.105,0.023,0.545,0.316,0.041,1.481,87.5,19.17,454.17,263.33,34.17,1234.17
"7","Fagus grandifolia",0.667,0.224,1.827,0.113,0.009,0.782,555.83,186.67,1522.5,94.17,7.5,651.67
"8","Ilex opaca",1.019,0.433,2.254,0.524,0.153,1.562,849.17,360.83,1878.33,436.67,127.5,1301.67
"9","Liquidambar styraciflua",0.147,0.076,0.362,0.095,0.003,0.758,122.5,63.33,301.67,79.17,2.5,631.67
"13","Quercus coccinea",0.132,0.029,0.756,5.744,3.525,9.142,110,24.17,630,4786.67,2937.5,7618.33
"14","Quercus falcata",0.068,0.011,0.499,0.908,0.378,2.176,56.67,9.17,415.83,756.67,315,1813.33
"16","Quercus velutina",0.146,0.048,0.629,0.414,0.079,1.594,121.67,40,524.17,345,65.83,1328.33
"17","Sassafras albidum",0.064,0.01,0.416,1.465,0.431,4.11,53.33,8.33,346.67,1220.83,359.17,3425
"19","Early_Successional",0.246,0.103,0.813,1.285,0.465,3.087,205,85.83,677.5,1070.83,387.5,2572.5
"21","Mesic",2.104,1.031,3.942,1.458,0.633,3.049,1753.33,859.17,3285,1215,527.5,2540.83
"22","Non_Canopy",0.894,0.473,1.94,4.121,2.445,6.791,745,394.17,1616.67,3434.17,2037.5,5659.17
"1","Acer rubrum",0.132,0.017,0.875,0.43,0.064,2.646,110,14.17,729.17,358.33,53.33,2205
"5","Carya alba",0.105,0.015,0.825,0.06,0.001,1.239,87.5,12.5,687.5,50,0.83,1032.5
"10","Nyssa sylvatica",0.069,0.009,0.446,0.209,0.019,1.607,57.5,7.5,371.67,174.17,15.83,1339.17
"11","Pinus virginiana",0.063,0.012,0.434,0.599,0.118,2.498,52.5,10,361.67,499.17,98.33,2081.67
"12","Quercus alba",2.493,1.514,4.638,10.745,6.499,18.035,2077.5,1261.67,3865,8954.17,5415.83,15029.17
"15","Quercus prinus",0.263,0.084,1.213,0,0,0,219.17,70,1010.83,0,0,0
"18","All",7.011,4.461,10.869,25.119,18.045,34.761,5842.5,3717.5,9057.5,20932.5,15037.5,28967.5
"20","Oak_Hickory",3.803,2.168,7.178,18.513,11.22,31.334,3169.17,1806.67,5981.67,15427.5,9350,26111.67
