"","Species","Start_NoFire_Mean","Start_NoFire_Low","Start_NoFire_High","Start_Fire_Mean","Start_Fire_Low","Start_Fire_High","Start_NoFire_Mean_HA","Start_NoFire_Low_Ha","Start_NoFire_High_Ha","Start_Fire_Mean_HA","Start_Fire_Low_Ha","Start_Fire_High_Ha"
"1","Acer rubrum",3.408,1.986,5.588,2.428,1.111,4.794,48.21,28.1,79.05,34.35,15.72,67.82
"2","Carpinus caroliniana",0.073,0.024,0.308,0.208,0.028,1.128,1.03,0.34,4.36,2.94,0.4,15.96
"3","Carya alba",0.526,0.209,1.373,0.138,0.012,0.904,7.44,2.96,19.42,1.95,0.17,12.79
"4","Carya glabra",0.757,0.323,1.788,0.407,0.104,1.411,10.71,4.57,25.3,5.76,1.47,19.96
"5","Carya ovalis",0.117,0.036,0.456,0,0,0,1.66,0.51,6.45,0,0,0
"6","Cornus florida",0.416,0.167,1.195,0.169,0.022,0.868,5.89,2.36,16.91,2.39,0.31,12.28
"7","Fagus grandifolia",4.862,3.188,7.234,1.323,0.603,2.799,68.78,45.1,102.34,18.72,8.53,39.6
"8","Fraxinus americana",0.09,0.027,0.389,0,0,0,1.27,0.38,5.5,0,0,0
"9","Ilex opaca",0.721,0.355,1.595,0.091,0.005,0.724,10.2,5.02,22.56,1.29,0.07,10.24
"10","Juniperus virginiana",0.129,0.044,0.482,0,0,0,1.82,0.62,6.82,0,0,0
"11","Liquidambar styraciflua",0.279,0.151,0.63,0.094,0.003,0.758,3.95,2.14,8.91,1.33,0.04,10.72
"12","Liriodendron tulipifera",4.705,2.977,7.233,6.079,3.67,9.643,66.56,42.12,102.33,86,51.92,136.42
"13","Nyssa sylvatica",2.405,1.281,4.254,1.367,0.476,3.304,34.02,18.12,60.18,19.34,6.73,46.74
"14","Pinus virginiana",5.728,4.071,8.184,5.293,3.328,8.38,81.03,57.59,115.78,74.88,47.08,118.55
"15","Quercus alba",3.763,2.235,6.093,1.84,0.774,4.018,53.24,31.62,86.2,26.03,10.95,56.84
"16","Quercus coccinea",1.179,0.605,2.402,1.064,0.323,3.054,16.68,8.56,33.98,15.05,4.57,43.21
"17","Quercus falcata",0.487,0.201,1.274,0.252,0.046,1.047,6.89,2.84,18.02,3.57,0.65,14.81
"18","Quercus prinus",0.484,0.288,0.92,0,0,0,6.85,4.07,13.02,0,0,0
"19","Quercus rubra",0.414,0.163,1.141,0,0,0.001,5.86,2.31,16.14,0,0,0.01
"20","Quercus velutina",0.413,0.143,1.235,0.007,0,0.21,5.84,2.02,17.47,0.1,0,2.97
"21","Sassafras albidum",0.066,0.015,0.348,0,0,0.001,0.93,0.21,4.92,0,0,0.01
"22","All",32.468,26.792,38.966,21.683,16.766,27.733,459.33,379.03,551.26,306.75,237.19,392.34
"23","Early_Successional",11.047,8.109,14.872,11.638,8.067,16.414,156.28,114.72,210.4,164.64,114.12,232.21
"24","Oak_Hickory",8.681,5.973,12.237,3.999,2.183,6.936,122.81,84.5,173.12,56.57,30.88,98.12
"25","Mesic",11.836,8.715,15.715,5.449,3.327,8.584,167.45,123.29,222.32,77.09,47.07,121.44
"26","Non_Canopy",0.596,0.233,1.538,0.417,0.092,1.516,8.43,3.3,21.76,5.9,1.3,21.45
