"","Species","Start_NoFire_Mean","Start_NoFire_Low","Start_NoFire_High","Start_Fire_Mean","Start_Fire_Low","Start_Fire_High","Start_NoFire_Mean_HA","Start_NoFire_Low_Ha","Start_NoFire_High_Ha","Start_Fire_Mean_HA","Start_Fire_Low_Ha","Start_Fire_High_Ha"
"1","Acer rubrum",0.087,0.07,0.159,0.049,0.041,0.059,1.23,0.99,2.25,0.69,0.58,0.83
"2","Carpinus caroliniana",0.001,0,0.004,0.001,0,0.005,0.01,0,0.06,0.01,0,0.07
"3","Carya alba",0.014,0.006,0.08,0.004,0.001,0.039,0.2,0.08,1.13,0.06,0.01,0.55
"4","Carya glabra",0.031,0.016,0.186,0.01,0.004,0.125,0.44,0.23,2.63,0.14,0.06,1.77
"5","Carya ovalis",0.007,0.001,0.086,267861893175.814,0,Inf,0.1,0.01,1.22,3789470610211.91,0,Inf
"6","Cornus florida",0.004,0.001,0.012,0.003,0.001,0.018,0.06,0.01,0.17,0.04,0.01,0.25
"8","Fraxinus americana",0.002,0,0.013,1.31799740310484e+20,0,Inf,0.03,0,0.18,1.86458490387926e+21,0,Inf
"10","Juniperus virginiana",0.002,0,0.014,7.02367106080561e+21,0,Inf,0.03,0,0.2,9.93646193758853e+22,0,Inf
"11","Liquidambar styraciflua",0.005,0.001,0.097,6.331,0,1.44938226989609e+44,0.07,0.01,1.37,89.57,0,2.05045646829968e+45
"12","Liriodendron tulipifera",0.368,0.302,0.728,0.408,0.364,0.459,5.21,4.27,10.3,5.77,5.15,6.49
"13","Nyssa sylvatica",0.049,0.036,0.104,0.043,0.034,0.055,0.69,0.51,1.47,0.61,0.48,0.78
"14","Pinus virginiana",0.331,0.188,1.332,0.441,0.184,3.288,4.68,2.66,18.84,6.24,2.6,46.52
"15","Quercus alba",0.297,0.235,0.702,0.192,0.129,0.836,4.2,3.32,9.93,2.72,1.82,11.83
"16","Quercus coccinea",0.118,0.052,0.746,0.078,0.043,0.357,1.67,0.74,10.55,1.1,0.61,5.05
"17","Quercus falcata",0.034,0.013,0.309,0.016,0.002,0.612,0.48,0.18,4.37,0.23,0.03,8.66
"18","Quercus prinus",0.026,0.005,0.85,0.028,0,Inf,0.37,0.07,12.03,0.4,0,Inf
"19","Quercus rubra",0.027,0.01,0.361,973141685.274,0,Inf,0.38,0.14,5.11,13767138625.79,0,Inf
"20","Quercus velutina",0.028,0.01,0.183,0.001,0,0.02,0.4,0.14,2.59,0.01,0,0.28
"22","All",1.955,1.783,2.149,1.449,1.307,1.611,27.66,25.22,30.4,20.5,18.49,22.79
"23","Early_Successional",0.804,0.683,1.167,0.814,0.713,0.933,11.37,9.66,16.51,11.52,10.09,13.2
"24","Oak_Hickory",0.771,0.628,1.134,0.342,0.255,0.802,10.91,8.88,16.04,4.84,3.61,11.35
"25","Mesic",0.306,0.259,0.366,0.145,0.12,0.177,4.33,3.66,5.18,2.05,1.7,2.5
"26","Non_Canopy",0.006,0.003,0.016,0.005,0.002,0.019,0.08,0.04,0.23,0.07,0.03,0.27
"9","Ilex opaca",0.008,0.004,0.027,0.006,0.001,0.057,0.11,0.06,0.38,0.08,0.01,0.81
"110","Fagus grandifolia",0.108,0.08,0.243,0.051,0.018,0.678,1.53,1.13,3.44,0.72,0.25,9.59
"31","Sassafras albidum",0.001,0,0.002,4.12603691333831e+28,0,Inf,0.01,0,0.03,5.83714817899927e+29,0,Inf
